lac,population
E07000076,151400
E07000010,103002
E07000137,144400
E07000168,109055
E07000145,99834
E07000146,155720
E07000136,70831
E07000114,140683
E07000043,100455
E07000046,68664
E07000112,110356
E07000147,103223
E06000012,157745
E07000108,117546
E06000046,140779
E07000045,135972
E07000143,143459
E06000027,139409
E08000017,310964
E07000064,94221
E06000010,268677
E07000239,102306
E07000140,96964
E07000113,154598
E08000032,553044
E07000244,247083
E07000138,102964
E07000047,58212
E06000052,575532
E06000021,260008
E07000062,90621
E07000080,87934
E07000188,126502
E07000122,96197
E06000003,137168
E06000019,188696
E07000246,159359
E07000193,125692
E06000002,148583
E06000013,170085
E07000026,96556
E07000090,124839
E07000224,166381
E06000051,327479
E07000028,111350
E07000148,144957
E07000042,83812
E08000018,268267
E08000019,564702
E07000142,96788
E08000030,286218
E08000033,207660
E06000031,217657
E07000202,139295
E08000034,437794
E06000020,189000
E07000029,67425
E07000171,119985
E07000167,55326
E08000025,1154221
E06000009,141648
E08000005,226950
E07000187,116924
E07000170,127101
E07000088,82277
E07000195,125404
E06000033,180884
E06000059,383373
E06000057,324286
E06000015,263620
E06000001,93847
E08000036,357698
E07000174,111070
E07000067,157605
E06000026,267063
E06000011,346316
E07000034,104104
E07000245,182328
E06000032,227298
E07000106,158282
E08000004,243993
E07000175,125056
E06000034,176788
E08000016,246448
E06000018,327424
E07000117,95655
E07000200,94287
E07000219,135499
E07000074,67568
E06000005,109413
E07000081,133530
E07000105,135741
E07000133,52404
E08000031,267888
E07000063,100679
E08000027,324931
E08000026,352889
E08000028,344582
E07000061,102364
E07000038,103797
E07000198,95904
E06000004,200112
E07000120,83215
E08000024,277512
E07000225,126200
E06000024,219165
E08000037,197922
E06000061,363244
E07000044,89808
E08000035,820802
E06000016,372495
E06000030,235652
E07000040,154374
E06000047,527704
E08000021,306402
E07000071,194648
E07000199,79639
E07000069,89744
E07000030,55473
E07000223,64725
E06000045,252151
E09000002,220039
E07000033,81541
E08000023,148608
E07000189,174306
E07000123,151869
E07000041,134811
E08000008,232806
E07000125,71187
E07000218,65947
E06000008,155823
E07000072,135009
E07000032,126934
E06000062,429511
E07000066,188810
E08000001,299153
E07000236,87129
E07000134,107666
E07000091,175932
E07000036,113073
E08000011,157107
E07000073,94444
E06000058,402559
E07000166,50108
E07000235,81070
E08000012,495849
E07000196,111530
E07000037,91106
E07000027,67354
E08000006,278867
E07000243,89616
E06000044,208949
E07000163,57812
E06000035,282643
E07000141,144228
E07000109,106870
E07000031,104821
E07000130,185266
E07000203,105726
E07000075,87194
E07000009,89438
E06000014,204115
E07000197,138644
E07000035,71755
E07000110,180569
E07000226,119700
E07000132,114315
E07000241,120420
E07000192,101144
E07000121,144561
E07000095,98999
E06000042,292517
E07000008,147813
E08000014,281039
E08000003,566778
E06000006,129008
E06000054,516107
E06000055,187503
E07000220,116461
E07000229,112022
E08000013,184728
E07000238,134544
E07000139,119689
E08000029,217784
E09000016,264675
E09000025,357147
E07000164,92076
E07000085,127285
E07000173,117682
E07000178,162448
E07000135,58456
E07000128,114924
E06000022,195988
E07000127,119360
E07000172,112395
E07000065,163122
E07000221,138573
E06000017,41225
E07000194,108337
E07000011,184096
E06000043,278370
E07000237,104119
E07000149,144617
E07000079,91360
E06000039,159387
E07000093,132924
E07000084,187870
E08000015,322439
E07000116,116175
E07000144,133885
E08000010,334014
E09000023,299023
E09000011,291879
E07000169,93613
E07000165,165906
E09000004,247754
E07000210,87852
E07000119,82990
E06000023,478636
E06000050,361799
E07000227,148769
E09000010,327426
E07000096,156167
E07000094,130597
E07000215,88884
E09000005,341183
E07000070,183414
E07000111,121173
E07000177,164189
E09000017,310894
E07000083,97032
E07000107,118810
E07000077,92675
E07000092,101003
E07000099,134161
E06000056,301820
E09000026,311515
E08000022,210512
E07000222,151233
E07000082,123225
E09000031,276312
E07000242,151717
E08000002,194590
E09000014,262413
E07000181,116978
E07000098,108311
E09000008,392610
E07000212,89069
E07000209,146378
E07000131,100550
E07000216,130329
E06000049,406587
E09000012,261632
E07000115,133664
E07000039,111145
E06000060,560688
E06000038,175742
E08000007,297191
E07000068,77348
E07000129,104283
E09000018,291199
E09000015,261933
E07000180,142335
E09000007,217365
E06000037,162397
E07000103,103043
E09000009,370129
E07000228,155010
E09000030,323854
E09000029,210293
E07000213,103658
E07000086,139056
E06000025,295307
E07000234,100155
E09000006,329689
E06000040,154869
E09000019,219594
E07000078,119585
E09000003,390346
E09000028,311492
E06000007,211797
E07000012,165709
E07000118,118623
E07000087,114562
E06000036,127030
E07000102,94179
E07000240,148524
E09000022,316700
E07000176,121765
E07000179,151845
E09000013,185506
E09000020,146392
E07000217,104290
E09000033,209866
E09000024,215121
E08000009,236651
E07000208,81349
E07000211,153674
E07000124,63140
E07000089,100912
E09000032,329358
E07000126,112201
E09000021,169082
E09000027,195165
E07000214,91266
E06000041,181383
E07000207,140299
